FullOperation,bigquery,clickhouse,dask,datafusion,druid,duckdb,impala,mssql,mysql,oracle,pandas,polars,postgres,pyspark,snowflake,sqlite,trino
ibis.expr.operations.geospatial.GeoEnvelope,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoEquals,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoGeometryN,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoGeometryType,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoIntersection,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoIntersects,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoIsValid,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoLength,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoLineLocatePoint,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoLineMerge,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoLineSubstring,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoMaxDistance,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.geospatial.GeoNPoints,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoNRings,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.geospatial.GeoOrderingEquals,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoOverlaps,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoPerimeter,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoPoint,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.geospatial.GeoPointN,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.geospatial.GeoSRID,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoSetSRID,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoSimplify,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoStartPoint,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoTouches,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoTransform,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoUnaryUnion,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoUnion,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoWithin,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoX,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoXMax,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.geospatial.GeoXMin,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.geospatial.GeoY,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ibis.expr.operations.geospatial.GeoYMax,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.geospatial.GeoYMin,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.histograms.Bucket,True,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True
ibis.expr.operations.json.JSONGetItem,True,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.json.ToJSONArray,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
ibis.expr.operations.json.ToJSONMap,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ibis.expr.operations.logical.And,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.Equals,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.ExistsSubquery,True,True,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True
ibis.expr.operations.logical.Greater,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.GreaterEqual,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.IdenticalTo,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True
ibis.expr.operations.logical.Less,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.LessEqual,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.Not,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.NotContains,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.NotEquals,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.NotExistsSubquery,True,True,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True
ibis.expr.operations.logical.Or,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.Where,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.logical.Xor,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.maps.Map,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True
ibis.expr.operations.maps.MapContains,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True
ibis.expr.operations.maps.MapGet,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True
ibis.expr.operations.maps.MapKeys,False,True,True,False,False,True,False,False,False,False,True,True,True,False,True,False,True
ibis.expr.operations.maps.MapLength,False,True,True,False,False,True,False,False,False,False,True,True,True,False,True,False,True
ibis.expr.operations.maps.MapMerge,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True
ibis.expr.operations.maps.MapValues,False,True,True,False,False,True,False,False,False,False,True,True,True,False,True,False,True
ibis.expr.operations.numeric.Abs,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Acos,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Add,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Asin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Atan,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Atan2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.BaseConvert,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ibis.expr.operations.numeric.BitwiseAnd,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.BitwiseLeftShift,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True
ibis.expr.operations.numeric.BitwiseNot,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.BitwiseOr,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.BitwiseRightShift,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True
ibis.expr.operations.numeric.BitwiseXor,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Ceil,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Clip,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Cos,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Cot,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Degrees,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Exp,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Floor,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.FloorDivide,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.IsInf,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True
ibis.expr.operations.numeric.IsNan,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True
ibis.expr.operations.numeric.Ln,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Log,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Log10,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Log2,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Modulus,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Multiply,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Negate,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.NullIfZero,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Power,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Radians,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Round,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Sign,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Sin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Sqrt,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Subtract,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.numeric.Tan,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.All,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.Any,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.ApproxCountDistinct,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.reductions.ApproxMedian,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,True
ibis.expr.operations.reductions.Arbitrary,True,True,True,False,False,True,False,False,False,False,True,False,True,True,True,True,True
ibis.expr.operations.reductions.ArgMax,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
ibis.expr.operations.reductions.ArgMin,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
ibis.expr.operations.reductions.ArrayCollect,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,True
ibis.expr.operations.reductions.BitAnd,True,True,True,False,True,True,False,False,True,True,True,False,True,False,True,True,True
ibis.expr.operations.reductions.BitOr,True,True,True,False,True,True,False,False,True,True,True,False,True,False,True,True,True
ibis.expr.operations.reductions.BitXor,True,True,True,False,True,True,False,False,True,True,True,False,True,False,True,True,True
ibis.expr.operations.reductions.Correlation,True,True,True,False,False,True,False,False,False,True,True,True,True,True,True,False,True
ibis.expr.operations.reductions.Count,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.CountDistinct,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.CountDistinctStar,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.CountStar,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.Covariance,True,True,True,False,False,True,False,False,False,True,True,False,True,True,True,False,True
ibis.expr.operations.reductions.First,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
ibis.expr.operations.reductions.GroupConcat,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True
ibis.expr.operations.reductions.Last,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True
ibis.expr.operations.reductions.Max,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.Mean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.Median,False,True,True,True,False,True,False,False,False,True,True,True,True,False,True,False,False
ibis.expr.operations.reductions.Min,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.Mode,False,False,True,False,False,True,False,False,False,False,True,True,True,False,True,True,False
ibis.expr.operations.reductions.MultiQuantile,False,True,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False
ibis.expr.operations.reductions.NotAll,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.NotAny,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.Quantile,False,True,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False
ibis.expr.operations.reductions.StandardDev,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.Sum,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.reductions.Variance,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.sortkeys.SortKey,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.ArrayStringJoin,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True
ibis.expr.operations.strings.Capitalize,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.EndsWith,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.ExtractAuthority,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False
ibis.expr.operations.strings.ExtractFile,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
ibis.expr.operations.strings.ExtractFragment,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True
ibis.expr.operations.strings.ExtractHost,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True
ibis.expr.operations.strings.ExtractPath,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True
ibis.expr.operations.strings.ExtractProtocol,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True
ibis.expr.operations.strings.ExtractQuery,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True
ibis.expr.operations.strings.ExtractUserInfo,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False
ibis.expr.operations.strings.FindInSet,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False
ibis.expr.operations.strings.LPad,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.LStrip,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.Lowercase,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.RPad,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.RStrip,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.RegexExtract,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True
ibis.expr.operations.strings.RegexReplace,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True
ibis.expr.operations.strings.RegexSearch,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True
ibis.expr.operations.strings.Repeat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.Reverse,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.StartsWith,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.StrRight,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.StringAscii,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.StringConcat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.StringContains,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.StringFind,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.strings.StringJoin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.StringLength,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.StringReplace,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.StringSQLILike,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True
ibis.expr.operations.strings.StringSplit,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,True
ibis.expr.operations.strings.Strip,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.Substring,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.strings.Translate,True,False,True,True,False,False,True,False,False,False,True,False,True,True,True,True,True
ibis.expr.operations.strings.Uppercase,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.structs.StructColumn,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False,True
ibis.expr.operations.structs.StructField,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,True
ibis.expr.operations.temporal.BetweenTime,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
ibis.expr.operations.temporal.Date,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ibis.expr.operations.temporal.DateAdd,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,False
ibis.expr.operations.temporal.DateDiff,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,False
ibis.expr.operations.temporal.DateFromYMD,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True
ibis.expr.operations.temporal.DateSub,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,False
